wl,n,k
0.28936,1.49099,1e-09
0.296728,1.48873,1e-09
0.30215,1.48719,1e-09
0.330259,1.48053,1e-09
0.334148,1.47976,1e-09
0.340365,1.47858,1e-09
0.34662,1.47746,1e-09
0.361051,1.47512,1e-09
0.365015,1.47453,1e-09
0.404656,1.46961,1e-09
0.435835,1.46669,1e-09
0.467816,1.46429,1e-09
0.486133,1.46313,1e-09
0.508582,1.46187,1e-09
0.546074,1.46008,1e-09
0.576959,1.45885,1e-09
0.579065,1.45877,1e-09
0.587561,1.45847,1e-09
0.589262,1.45841,1e-09
0.643847,1.45671,1e-09
0.656272,1.45637,1e-09
0.667815,1.45608,1e-09
0.706519,1.45515,1e-09
0.852111,1.45248,1e-09
0.89435,1.45185,1e-09
1.01398,1.45025,1e-09
1.08297,1.44941,1e-09
1.12866,1.44888,1e-09
1.3622,1.44621,1e-09
1.39506,1.44584,1e-09
1.4695,1.44497,1e-09
1.52952,1.44427,1e-09
1.6606,1.44267,1e-09
1.681,1.44241,1e-09
1.6932,1.44226,1e-09
1.70913,1.44205,1e-09
1.81307,1.44069,1e-09
1.97009,1.43851,1e-09
2.0581,1.43722,1e-09
2.1526,1.43576,1e-09
2.32542,1.43292,1e-09
2.4374,1.43095,1e-09
3.2439,1.41314,1e-09
3.2668,1.41253,1e-09
3.3026,1.41155,1e-09
3.422,1.40819,1e-09
3.507,1.40568,1e-09
3.5564,1.40418,1e-09
3.636,1.40418,2.25e-05
3.704,1.40418,3.39e-05
3.7067,1.39936,3.39e-05
3.774,1.39936,3.93e-05
3.846,1.395,4.96e-05
3.922,1.395,5.18e-05
4.0,1.395,5.79e-05
4.082,1.395,7.99e-05
4.167,1.383,0.000107
4.255,1.383,0.000132
4.348,1.383,0.000213
4.396,1.383,0.000265
4.444,1.383,0.000284
4.494,1.383,0.000284
4.545,1.365,0.000256
4.651,1.365,0.000262
4.762,1.365,0.000485
4.878,1.365,0.00182
5.0,1.342,0.00398
5.063,1.342,0.00512
5.128,1.342,0.00518
5.263,1.342,0.00549
5.333,1.342,0.00569
5.405,1.342,0.00572
5.556,1.306,0.00563
5.714,1.306,0.00563
5.882,1.278,0.00594
6.061,1.278,0.00632
6.154,1.278,0.00646
6.25,1.239,0.00652
6.452,1.212,0.00657
6.667,1.175,0.00716
6.757,1.158,0.00716
6.849,1.135,0.00716
6.897,1.135,0.00851
6.944,1.107,0.00851
7.042,1.084,0.00851
7.143,1.053,0.0106
7.246,1.014,0.0106
7.353,0.9702,0.0106
7.407,0.9488,0.0148
7.463,0.9175,0.0148
7.519,0.8897,0.0148
7.576,0.86,0.0148
7.634,0.8213,0.0148
7.692,0.7719,0.0372
7.752,0.7037,0.0474
7.813,0.6232,0.0768
7.874,0.5456,0.132
7.937,0.4677,0.216
8.0,0.4113,0.323
8.065,0.3931,0.446
8.13,0.402,0.553
8.197,0.4329,0.635
8.265,0.453,0.704
8.333,0.46,0.771
8.403,0.473,0.84
8.475,0.4746,0.903
8.547,0.4656,0.978
8.621,0.4563,1.07
8.696,0.4309,1.17
8.772,0.3915,1.32
8.85,0.3563,1.53
8.929,0.3705,1.85
9.009,0.5846,2.27
9.091,1.043,2.55
9.174,1.616,2.63
9.302,2.25,2.26
9.524,2.76,1.65
9.756,2.839,0.962
10.0,2.694,0.509
10.26,2.448,0.231
10.53,2.224,0.102
10.81,2.038,0.046
11.11,1.869,0.0506
11.36,1.784,0.0775
11.63,1.69,0.116
11.76,1.652,0.152
11.9,1.619,0.204
12.05,1.615,0.267
12.2,1.658,0.323
12.35,1.701,0.341
12.5,1.753,0.343
12.66,1.789,0.314
12.82,1.811,0.275
12.99,1.81,0.227
13.16,1.779,0.192
13.33,1.756,0.177
13.79,1.698,0.157
14.29,1.643,0.157
14.81,1.598,0.168
15.38,1.555,0.182
16.0,1.502,0.202
16.67,1.45,0.235
17.24,1.401,0.264
17.86,1.337,0.298
18.52,1.235,0.341
18.97,1.161,0.377
19.23,1.05,0.415
19.61,0.8857,0.524
20.0,0.6616,0.822
20.41,0.5777,1.28
20.83,0.7517,1.86
21.05,1.002,2.22
21.28,1.484,2.39
21.74,2.308,2.29
22.73,2.936,1.29
23.81,2.912,0.738
25.0,2.739,0.397
26.67,2.537,0.199
28.57,2.388,0.13
30.77,2.284,0.092
33.33,2.21,0.067
36.36,2.147,0.056
40.4,2.1,0.046
100.0,1.967,0.0159
125.0,1.962,0.0119
166.7,1.959,0.00862
250.0,1.957,0.00696
500.0,1.955,0.00796
